30 240
0 11 18
0 4 11
0 29 5
0 18 19
0 22 15
0 5 6
0 1 28
0 11 26
1 2 28
1 6 22
1 24 3
1 3 23
1 22 22
1 26 9
1 5 18
1 6 12
2 18 10
2 22 18
2 19 26
2 24 24
2 21 3
2 3 4
2 14 22
2 1 24
3 28 18
3 14 23
3 27 28
3 19 24
3 21 20
3 28 17
3 5 21
3 12 19
4 16 11
4 2 5
4 28 27
4 15 21
4 9 11
4 20 7
4 21 4
4 8 10
5 23 25
5 4 7
5 20 17
5 26 12
5 28 25
5 9 27
5 13 18
5 28 9
6 12 10
6 11 4
6 5 20
6 18 25
6 0 28
6 26 24
6 6 12
6 5 15
7 22 1
7 9 18
7 3 28
7 12 17
7 0 12
7 6 6
7 17 16
7 4 12
8 22 21
8 10 22
8 4 17
8 10 28
8 11 8
8 27 8
8 17 4
8 3 6
9 29 20
9 8 12
9 18 3
9 16 27
9 10 4
9 8 1
9 11 13
9 5 11
10 29 25
10 17 9
10 3 26
10 21 3
10 20 2
10 26 15
10 10 7
10 21 19
11 9 19
11 4 2
11 24 24
11 19 19
11 8 1
11 7 18
11 8 14
11 18 14
12 17 22
12 0 18
12 13 5
12 29 27
12 5 22
12 20 30
12 19 27
12 28 4
13 14 29
13 24 30
13 19 3
13 15 26
13 3 4
13 13 28
13 4 24
13 8 1
14 18 19
14 0 27
14 8 12
14 29 9
14 19 8
14 12 13
14 28 23
14 8 30
15 10 18
15 8 12
15 15 29
15 16 22
15 2 25
15 15 19
15 26 23
15 5 24
16 19 13
16 24 7
16 11 19
16 2 22
16 1 30
16 17 7
16 22 30
16 5 3
17 20 21
17 3 20
17 11 19
17 21 10
17 15 14
17 22 26
17 2 26
17 28 17
18 27 28
18 22 3
18 29 25
18 11 30
18 26 10
18 28 13
18 5 26
18 14 20
19 1 3
19 25 1
19 28 4
19 29 4
19 19 17
19 7 20
19 19 8
19 6 20
20 13 6
20 27 17
20 26 26
20 8 23
20 5 25
20 24 2
20 26 2
20 23 24
21 25 16
21 13 13
21 8 3
21 5 24
21 6 2
21 28 7
21 22 2
21 4 7
22 2 20
22 1 16
22 20 14
22 26 15
22 29 13
22 9 4
22 14 25
22 20 6
23 9 17
23 3 5
23 2 9
23 8 8
23 5 19
23 11 3
23 25 18
23 4 15
24 24 25
24 14 13
24 29 14
24 20 18
24 7 19
24 17 14
24 20 24
24 28 3
25 5 13
25 20 24
25 7 3
25 19 18
25 15 14
25 4 14
25 2 12
25 21 14
26 12 16
26 23 16
26 11 3
26 22 3
26 26 15
26 10 18
26 20 4
26 14 21
27 10 26
27 23 2
27 20 27
27 17 26
27 10 21
27 14 26
27 24 30
27 25 27
28 4 9
28 22 2
28 26 29
28 3 2
28 14 29
28 24 30
28 22 11
28 27 11
29 6 11
29 17 11
29 5 7
29 17 14
29 18 25
29 9 23
29 16 16
29 7 28
